
992;39;64,2;65;11;19:01:2024 / 10:23:06;
992;39;64,3;66;11;19:01:2024 / 10:27:04;
992;39;65,3;67;11;19:01:2024 / 10:30:37;
992;39;63,9;67;12;19:01:2024 / 10:33:12;
992;39;64,4;68;12;19:01:2024 / 10:35:40;
992;39;62,9;69;12;19:01:2024 / 10:46:09;
992;39;63,8;70;12;19:01:2024 / 10:51:35;
992;39;62,2;70;13;19:01:2024 / 10:54:10;
992;39;62,7;71;13;19:01:2024 / 10:56:39;
992;39;62,9;72;13;19:01:2024 / 10:59:16;
992;39;63,8;73;13;19:01:2024 / 11:02:48;
992;39;62,6;73;14;19:01:2024 / 11:05:29;
992;39;63,1;74;14;19:01:2024 / 11:07:42;
992;39;63,1;75;14;19:01:2024 / 11:11:21;
992;39;61,5;76;14;19:01:2024 / 11:24:43;
992;39;61,8;77;14;19:01:2024 / 11:27:27;
992;39;62,5;78;14;19:01:2024 / 11:30:40;
992;39;61,5;78;15;19:01:2024 / 11:33:05;
992;39;61,9;79;15;19:01:2024 / 11:35:10;
992;39;61,3;80;15;19:01:2024 / 11:43:37;
992;39;61,7;81;15;19:01:2024 / 11:45:56;
992;39;61,9;82;15;19:01:2024 / 11:48:18;
992;39;62,3;83;15;19:01:2024 / 11:50:43;
992;39;62,6;84;15;19:01:2024 / 11:53:12;
992;39;63,0;85;15;19:01:2024 / 11:55:30;
992;39;63,3;86;15;19:01:2024 / 11:57:47;
992;39;63,6;87;15;19:01:2024 / 12:00:01;
992;39;63,9;88;15;19:01:2024 / 12:02:29;
992;39;64,3;89;15;19:01:2024 / 12:04:41;
992;39;64,5;90;15;19:01:2024 / 12:07:23;
992;39;64,5;90;16;19:01:2024 / 12:11:01;
992;39;63,2;90;17;19:01:2024 / 12:15:15;
992;39;63,9;91;17;19:01:2024 / 12:18:09;
992;39;63,1;91;18;19:01:2024 / 12:20:19;
992;39;63,5;92;18;19:01:2024 / 12:22:46;
992;39;63,7;93;18;19:01:2024 / 12:25:10;
992;39;64,3;94;18;19:01:2024 / 12:29:12;
992;39;61,7;94;19;19:01:2024 / 12:42:59;
992;39;61,6;95;19;19:01:2024 / 12:47:28;
992;39;61,8;96;19;19:01:2024 / 12:50:58;
992;39;62,2;97;19;19:01:2024 / 12:52:54;
992;39;62,4;98;19;19:01:2024 / 12:55:38;
992;39;62,6;99;19;19:01:2024 / 12:58:05;
992;39;62,8;100;19;19:01:2024 / 13:01:28;
992;39;63,1;101;19;19:01:2024 / 13:03:59;
992;39;63,3;102;19;19:01:2024 / 13:06:31;
992;39;63,5;103;19;19:01:2024 / 13:09:05;
992;39;63,8;104;19;19:01:2024 / 13:11:30;
992;39;64,0;105;19;19:01:2024 / 13:14:35;
992;39;64,1;106;19;19:01:2024 / 13:17:10;
992;39;64,7;107;19;19:01:2024 / 13:19:45;
992;39;64,2;107;20;19:01:2024 / 13:21:53;
992;39;64,8;108;20;19:01:2024 / 13:24:25;
992;39;63,9;108;21;19:01:2024 / 13:27:11;
992;39;64,2;109;21;19:01:2024 / 13:29:57;
992;39;64,4;110;21;19:01:2024 / 13:32:05;
992;39;64,7;111;21;19:01:2024 / 13:34:22;
992;39;65,0;112;21;19:01:2024 / 13:36:46;
992;39;65,0;113;21;19:01:2024 / 13:40:06;
992;39;64,8;113;22;19:01:2024 / 13:42:47;
992;39;65,1;114;22;19:01:2024 / 13:44:53;
992;39;65,2;115;22;19:01:2024 / 13:47:03;
